name,email,password,prosjek,ects,godstud,ects_pgod,prosjek_pgod
Rogan Thompson,metus.facilisis.lorem@icloud.edu,SFB31QGG5WS,2,105,4,55,2
Vladimir Zimmerman,vestibulum.lorem@icloud.net,AML17IRJ1DS,2.11,110,2,59,2.11
Skyler Edwards,nec.diam.duis@google.org,JCO01GPG6YU,2.22,104,4,49,2.22
Upton Winters,scelerisque.mollis@aol.edu,OER72QKJ6BK,2.33,112,2,47,2.33
Chloe Dudley,risus.nulla@aol.com,OLS48KEB6OL,2.44,118,4,58,2.44
Fulton Craft,vestibulum.ante@outlook.org,PVV06HPH9RV,2.55,107,4,58,2.55
Dominic Savage,integer.aliquam.adipiscing@outlook.net,ABY73NWH7VX,2.66,109,3,50,2.66
Fredericka Horton,diam.at@yahoo.org,NNM24WMK6UJ,2.77,117,5,60,2.77
Faith Fitzgerald,morbi.non.sapien@hotmail.edu,COX81HRF7UP,2.88,117,2,54,2.88
Tiger Dalton,ligula.nullam.feugiat@protonmail.edu,EWH76JUT6RI,2.99,112,3,47,2.99
Alvin Jimenez,neque@hotmail.ca,SZW62NHV8HH,3.1,110,2,52,3.1
Tanek Everett,gravida.praesent@protonmail.edu,IKQ34PQW5BR,3.21,101,2,47,3.21
Yardley Holman,donec.est.mauris@yahoo.couk,MYS51MMO5ST,3.3200000000000003,113,5,57,3.3200000000000003
Perry Potter,a.ultricies@outlook.ca,OCU73FVX1XW,3.4299999999999997,110,2,54,3.4299999999999997
Nina Bowman,fermentum.risus@icloud.net,OMO16DTF7FE,3.54,120,5,58,3.54
Yardley Massey,justo.nec.ante@google.ca,ODK92TSK8ND,3.65,117,3,55,3.65
Desirae Pollard,nisi.nibh@aol.ca,UPK14SUX1OH,3.76,110,2,55,3.76
Aspen Boone,auctor.mauris@aol.org,QST81QRI6LP,3.87,110,3,54,3.87
Zenaida Britt,per.conubia@protonmail.ca,AUJ62IUH7LT,3.98,110,5,54,3.98
Dane Mayer,aliquam.ornare@outlook.edu,NOS87PYO8XP,4.09,104,4,58,4.09
Brock Rowland,quisque@icloud.edu,TYI63DVG7PG,4.2,120,2,51,4.2
Candice Lang,vel.lectus@hotmail.couk,AFU61XTA3TW,4.3100000000000005,108,2,48,4.3100000000000005
Lewis Downs,tincidunt.nibh.phasellus@protonmail.com,KLO33QLD5JN,4.42,104,4,57,4.42
Rama Thompson,est@hotmail.ca,INP11PFI3AX,4.529999999999999,118,5,54,4.529999999999999
Wynter Navarro,amet@hotmail.net,UBY37IAL6KG,4.640000000000001,104,3,52,4.640000000000001
Sylvester Mathis,ut.cursus@google.net,WAU88MOT3HW,4.75,109,3,50,4.75
Ciara Mcconnell,ante.nunc@yahoo.com,CSX23CQM8LY,4.859999999999999,114,3,58,4.859999999999999
Tiger Rodriquez,bibendum.donec.felis@protonmail.com,APB46FVR5EI,4.970000000000001,119,5,51,4.970000000000001
Derek Hale,augue.porttitor.interdum@google.edu,AMD97SUQ3EE,5.08,108,4,52,5.08
Tanya Ramos,donec.est.nunc@aol.net,TRY61ZTO7PG,5.1899999999999995,110,4,52,5.1899999999999995
Baker Parks,magna@outlook.edu,UNF40OQM9FU,5.3,119,2,53,5.3
Maggie Hull,a@protonmail.couk,GHC58DEF1OT,5.41,120,3,54,5.41
Gavin Norton,mauris.rhoncus.id@outlook.ca,HNF22LMM4YB,5.52,111,2,52,5.52
Kai Chavez,vel@hotmail.com,PSF10FEG8AB,5.63,116,3,50,5.63
Justin O'Neill,eu.neque@hotmail.couk,GMC76VVG2NA,5.74,111,4,46,5.74
Kai Herring,posuere@yahoo.net,QDP25FDT0HY,5.85,117,4,48,5.85
Wilma Frye,eu.dolor@google.couk,KXF85VLI6ST,5.96,107,4,58,5.96
Ursa Howard,nunc.sed@outlook.ca,OID25IQD6ZT,6.07,113,2,55,6.07
David O'Neill,vitae@yahoo.com,JEU68LHB4KS,6.18,118,2,54,6.18
